file	pages	Marked	STRoot	elems	types	H	Table	Figure	Alt	ActualText	Pg	A	stext
2406.18256v3.pdf	13	None	-	0	0	0	0	0	0	0	0	0	0
34-1762_Request for Review_Adjust Living Allowance_25-26.p	6	True	YES	279	13	0	0	0	0	0	133	1	284
Ashby - An Introduction to Cybernetics (1956).pdf	156	None	-	0	0	0	0	0	0	0	0	0	0
BRAIN OF THE FIRM STAFFORD BEER (WITH OCR) ISBN 13 9780471	439	None	-	0	0	0	0	0	0	0	0	0	0
Best Practices for Equity Research Analysts_ Essentials fo	465	None	YES	1	1	0	0	0	0	0	0	0	0
Brain of the firm_ the managerial cybernetics of -- Staffo	439	None	-	0	0	0	0	0	0	0	0	0	0
Claude Code Up and Running 2026.pdf	79	None	-	0	0	0	0	0	0	0	0	0	0
Claude Code_ Up and Running (for jac monn) -- Ken Kousen -	104	None	-	0	0	0	0	0	0	0	0	0	0
Cybernetics_Book_of_Models-v4.6b-complete-1.pdf	91	None	-	0	0	0	0	0	0	0	0	0	0
Cybernetics_Book_of_Models-v4.6b-complete.pdf	91	None	-	0	0	0	0	0	0	0	0	0	0
DIAGNOSING THE SYSTEM FOR ORGANIZATIONS STAFFORD BEER.pdf	184	True	YES	2276	4	0	0	179	179	0	2275	179	200
Designing Data Intensive Applications by Martin Kleppmann.	613	None	YES	17	8	0	0	2	0	1	11	5	14
Designing with Freedom W Sketches from Stafford Beer, Chic	116	None	-	0	0	0	0	0	0	0	0	0	0
Designing with Freedom W Sketches from Stafford Beer, Chic	116	None	-	0	0	0	0	0	0	0	0	0	0
Designing with Freedom W Sketches from Stafford Beer, Chic	116	None	-	0	0	0	0	0	0	0	0	0	0
File_Portal_System_of_Operations.pdf	42	True	YES	3429	17	108	60	3	0	0	3429	3207	1642
GMAT Official Guide 2024-2025 Book + Online Question Bank 	1084	None	-	0	0	0	0	0	0	0	0	0	0
ISO-14289-1-2014-sponsored.pdf	25	True	YES	932	25	91	1	7	7	0	696	28	953
ISO-14289-2-2024-sponsored.pdf	51	True	YES	2017	29	179	11	9	215	6	1366	214	1043
ISO-TS-32005-2023-sponsored-1.pdf	49	True	YES	6265	55	0	5	6	6	4497	5383	133	2932
ISO-TS-32005-2023-sponsored-2.pdf	49	True	YES	6265	55	0	5	6	6	4497	5383	133	2932
ISO-TS-32005-2023-sponsored.pdf	49	True	YES	6265	55	0	5	6	6	4497	5383	133	2932
ISO_32000-2_sponsored_EC3-1.pdf	1023	True	YES	78468	40	981	745	195	186	2	76976	540	1725
